id,name,performer,price,time_start,time_end,venue,address,city,postcode,latitude,longitude,tags
134312,Roddy Martine: Scenes From A Life,,Free,"Mar 21, 2011 8:00 AM","Mar 21, 2011 9:00 PM",Henderson's Restaurant and Arts Venue,94 Hanover Street,Edinburgh,EH2 1DR,55.954521,-3.198273,Art
131247,Christine Borland: Cast From Nature,,Free,"Mar 21, 2011 9:00 AM","Mar 21, 2011 5:00 PM",Glasgow Sculpture Studio,145 Kelvinhaugh Street,Glasgow,G3 8PX,55.854946,-4.249767,"Art, sculpture, John Godsir"
136706,Rebel(le),,Free,"Mar 21, 2011 9:30 AM","Mar 21, 2011 6:30 PM",Institut Francais d'Ecosse, 13 Randolph Crescent,Edinburgh,EH3 7TT,,,Art
139371,Paul Noble: Tent,,Free,"Mar 21, 2011 9:30 AM","Mar 21, 2011 5:00 PM",Cooper Gallery,Crawford Building DJCAD 13 Perth Road,Dundee,DD1 4HT,56.457184,-2.982883,"Art, Nobson Newton"
131071,Hertie Querty,,Free,"Mar 21, 2011 10:00 AM","Mar 21, 2011 5:00 PM",Gallery of Modern Art,Royal Exchange Square,Glasgow,G1 3AH,55.859848,-4.252527,"Art, contemporary art, Photography, video, Installation"
135623,French Drawings,,Free,"Mar 21, 2011 10:00 AM","Mar 21, 2011 5:00 PM",National Gallery of Scotland,The Mound,Edinburgh,EH2 2EL,55.95187,-3.196429,Art
135702,Artist Rooms: August Sander,,Free,"Mar 21, 2011 10:00 AM","Mar 21, 2011 5:00 PM",Dean Gallery,73 Belford Road,Edinburgh,EH4 3DS,55.95187,-3.224196,"Art, 20th Century images, Photography, German"
135905,Tony Swain,,Free,"Mar 21, 2011 10:00 AM","Mar 21, 2011 5:00 PM",The Modern Institute,14-20 Osborne Street,Glasgow,G1 5QN,55.855991,-4.24526,Art
136918,Craig Murray-Orr,,Free,"Mar 21, 2011 10:00 AM","Mar 21, 2011 6:00 PM",Ingleby Gallery,15 Calton Road,Edinburgh,EH8 8DL,55.953159,-3.18647,"Art, painting, Landscape, sculpture"
137368,China Through The Lens,,Free,"Mar 21, 2011 10:00 AM","Mar 21, 2011 5:00 PM",Burrell Collection,2060 Pollokshaws Road,Glasgow,G43 1AT,55.823643,-4.304206,Art
138391,Jeff Koons,,Free,"Mar 21, 2011 10:00 AM","Mar 21, 2011 5:00 PM",Scottish National Gallery of Modern Art,75 Belford Road,Edinburgh,EH4 3DR,55.951084,-3.225292,"Art, pop art, Culture"
138549,Blueprint for a Bogey,,Free,"Mar 21, 2011 10:00 AM","Mar 21, 2011 5:00 PM",Gallery of Modern Art,Royal Exchange Square,Glasgow,G1 3AH,55.859848,-4.252527,Art
139403,Scratching the Surface,,Free,"Mar 21, 2011 10:00 AM","Mar 21, 2011 6:00 PM",St Margaret's House Art's Complex,151 London Road,Edinburgh,EH8 7TG,55.9557,-3.1524,"Art, Drawings, prints"
139431,RSA: New Contemporaries 2011,,£2 (£1),"Mar 21, 2011 10:00 AM","Mar 21, 2011 5:00 PM",Royal Scottish Academy (RSA),The Mound,Edinburgh,EH2 2EL,55.95187,-3.196429,"Art, architecture, graduates, degree shows, New Contemporaries"
